0x180A,"GATT Service","Device Information",
0x180D,"GATT Service","Heart Rate",
0x180E,"GATT Service","Phone Alert Status",
0x180F,"GATT Service","Battery",
0x1810,"GATT Service","Blood Pressure",
0x1811,"GATT Service","Alert Notification",
0x1812,"GATT Service","Human Interface Device",
0x1813,"GATT Service","Scan Parameters",
0x1814,"GATT Service","Running Speed and Cadence",
0x1815,"GATT Service","Automation IO",
0x1816,"GATT Service","Cycling Speed and Cadence",
0x1818,"GATT Service","Cycling Power",
0x1819,"GATT Service","Location and Navigation",
0x181A,"GATT Service","Environmental Sensing",
0x181B,"GATT Service","Body Composition",
0x181C,"GATT Service","User Data",
0x181D,"GATT Service","Weight Scale",
0x181E,"GATT Service","Bond Management",
0x181F,"GATT Service","Continuous Glucose Monitoring",
0x1820,"GATT Service","Internet Protocol Support",
0x1821,"GATT Service","Indoor Positioning",
0x1822,"GATT Service","Pulse Oximeter",
0x1823,"GATT Service","HTTP Proxy",
0x1824,"GATT Service","Transport Discovery",
0x1825,"GATT Service","Object Transfer",
0x1826,"GATT Service","Fitness Machine",
0x1827,"GATT Service","Mesh Provisioning",
0x1828,"GATT Service","Mesh Proxy",
0x1829,"GATT Service","Reconnection Configuration",
0x183A,"GATT Service","Insulin Delivery",
0x183B,"GATT Service","Binary Sensor",
0x183C,"GATT Service","Emergency Configuration",
0x183E,"GATT Service","Physical Activity Monitor",
0x1843,"GATT Service","Audio Input Control",
0x1844,"GATT Service","Volume Control",
0x1845,"GATT Service","Volume Offset Control",
0x1846,"GATT Service","Coordinated Set Identification",
0x1847,"GATT Service","Device Time",
0x1848,"GATT Service","Media Control",
0x1849,"GATT Service","Generic Media Control",
0x184A,"GATT Service","Constant Tone Extension",
0x184B,"GATT Service","Telephone Bearer",
0x184C,"GATT Service","Generic Telephone Bearer",
0x184D,"GATT Service","Microphone Control",
0x184E,"GATT Service","Audio Stream Control",
0x184F,"GATT Service","Broadcast Audio Scan",
0x1850,"GATT Service","Published Audio Capabilities",
0x1851,"GATT Service","Basic Audio Announcement",
0x1852,"GATT Service","Broadcast Audio Announcement",
0x1853,"GATT Service","Common Audio",
0x1854,"GATT Service","Hearing Access",
0x1855,"GATT Service","TMAS",
0x2700,"GATT Unit","unitless",
0x2701,"GATT Unit","length (metre)",
0x2702,"GATT Unit","mass (kilogram)",
0x2703,"GATT Unit","time (second)",
0x2704,"GATT Unit","electric current (ampere)",
0x2705,"GATT Unit","thermodynamic temperature (kelvin)",
0x2706,"GATT Unit","amount of substance (mole)",
0x2707,"GATT Unit","luminous intensity (candela)",
0x2710,"GATT Unit","area (square metres)",
0x2711,"GATT Unit","volume (cubic metres)",
0x2712,"GATT Unit","velocity (metres per second)",
0x2713,"GATT Unit","acceleration (metres per second squared)",
0x2714,"GATT Unit","wavenumber (reciprocal metre)",
0x2715,"GATT Unit","density (kilogram per cubic metre)",
0x2716,"GATT Unit","surface density (kilogram per square metre)",
0x2717,"GATT Unit","specific volume (cubic metre per kilogram)",
0x2718,"GATT Unit","current density (ampere per square metre)",
0x2719,"GATT Unit","magnetic field strength (ampere per metre)",
0x271A,"GATT Unit","amount concentration (mole per cubic metre)",
0x271B,"GATT Unit","mass concentration (kilogram per cubic metre)",
0x271C,"GATT Unit","luminance (candela per square metre)",
0x271D,"GATT Unit","refractive index",
0x271E,"GATT Unit","relative permeability",
0x2720,"GATT Unit","plane angle (radian)",
0x2721,"GATT Unit","solid angle (steradian)",
0x2722,"GATT Unit","frequency (hertz)",
0x2723,"GATT Unit","force (newton)",
0x2724,"GATT Unit","pressure (pascal)",
0x2725,"GATT Unit","energy (joule)",
0x2726,"GATT Unit","power (watt)",
0x2727,"GATT Unit","electric charge (coulomb)",
0x2728,"GATT Unit","electric potential difference (volt)",
0x2729,"GATT Unit","capacitance (farad)",
0x272A,"GATT Unit","electric resistance (ohm)",
0x272B,"GATT Unit","electric conductance (siemens)",
0x272C,"GATT Unit","magnetic flux (weber)",
0x272D,"GATT Unit","magnetic flux density (tesla)",
0x272E,"GATT Unit","inductance (henry)",
0x272F,"GATT Unit","Celsius temperature (degree Celsius)",
0x2730,"GATT Unit","luminous flux (lumen)",
0x2731,"GATT Unit","illuminance (lux)",
0x2732,"GATT Unit","activity referred to a radionuclide (becquerel)",
0x2733,"GATT Unit","absorbed dose (gray)",
0x2734,"GATT Unit","dose equivalent (sievert)",
0x2735,"GATT Unit","catalytic activity (katal)",
0x2740,"GATT Unit","dynamic viscosity (pascal second)",
0x2741,"GATT Unit","moment of force (newton metre)",
0x2742,"GATT Unit","surface tension (newton per metre)",
0x2743,"GATT Unit","angular velocity (radian per second)",
0x2744,"GATT Unit","angular acceleration (radian per second squared)",
0x2745,"GATT Unit","heat flux density (watt per square metre)",
0x2746,"GATT Unit","heat capacity (joule per kelvin)",
0x2747,"GATT Unit","specific heat capacity (joule per kilogram kelvin)",
0x2748,"GATT Unit","specific energy (joule per kilogram)",
0x2749,"GATT Unit","thermal conductivity (watt per metre kelvin)",
0x274A,"GATT Unit","energy density (joule per cubic metre)",
0x274B,"GATT Unit","electric field strength (volt per metre)",
0x274C,"GATT Unit","electric charge density (coulomb per cubic metre)",
0x274D,"GATT Unit","surface charge density (coulomb per square metre)",
0x274E,"GATT Unit","electric flux density (coulomb per square metre)",
0x274F,"GATT Unit","permittivity (farad per metre)",
0x2750,"GATT Unit","permeability (henry per metre)",
0x2751,"GATT Unit","molar energy (joule per mole)",
0x2752,"GATT Unit","molar entropy (joule per mole kelvin)",
0x2753,"GATT Unit","exposure (coulomb per kilogram)",
0x2754,"GATT Unit","absorbed dose rate (gray per second)",
0x2755,"GATT Unit","radiant intensity (watt per steradian)",
0x2756,"GATT Unit","radiance (watt per square metre steradian)",
0x2757,"GATT Unit","catalytic activity concentration (katal per cubic metre)",
0x2760,"GATT Unit","time (minute)",
0x2761,"GATT Unit","time (hour)",
0x2762,"GATT Unit","time (day)",
0x2763,"GATT Unit","plane angle (degree)",
0x2764,"GATT Unit","plane angle (minute)",
0x2765,"GATT Unit","plane angle (second)",
0x2766,"GATT Unit","area (hectare)",
0x2767,"GATT Unit","volume (litre)",
0x2768,"GATT Unit","mass (tonne)",
0x2780,"GATT Unit","pressure (bar)",
0x2781,"GATT Unit","pressure (millimetre of mercury)",
0x2782,"GATT Unit","length (ångström)",
0x2783,"GATT Unit","length (nautical mile)",
0x2784,"GATT Unit","area (barn)",
0x2785,"GATT Unit","velocity (knot)",
0x2786,"GATT Unit","logarithmic radio quantity (neper)",
0x2787,"GATT Unit","logarithmic radio quantity (bel)",
0x27A0,"GATT Unit","length (yard)",
0x27A1,"GATT Unit","length (parsec)",
0x27A2,"GATT Unit","length (inch)",
0x27A3,"GATT Unit","length (foot)",
0x27A4,"GATT Unit","length (mile)",
0x27A5,"GATT Unit","pressure (pound-force per square inch)",
0x27A6,"GATT Unit","velocity (kilometre per hour)",
0x27A7,"GATT Unit","velocity (mile per hour)",
0x27A8,"GATT Unit","angular velocity (revolution per minute)",
0x27A9,"GATT Unit","energy (gram calorie)",
0x27AA,"GATT Unit","energy (kilogram calorie)",
0x27AB,"GATT Unit","energy (kilowatt hour)",
0x27AC,"GATT Unit","thermodynamic temperature (degree Fahrenheit)",
0x27AD,"GATT Unit","percentage",
0x27AE,"GATT Unit","per mille",
0x27AF,"GATT Unit","period (beats per minute)",
0x27B0,"GATT Unit","electric charge (ampere hours)",
0x27B1,"GATT Unit","mass density (milligram per decilitre)",
0x27B2,"GATT Unit","mass density (millimole per litre)",
0x27B3,"GATT Unit","time (year)",
0x27B4,"GATT Unit","time (month)",
